Datetime,Close,High,Low,Open,Volume,Ticker
2026-07-17 09:30:00,332.4800109863281,332.5400085449219,332.4800109863281,332.5400085449219,5720818,AAPL
2026-07-17 09:31:00,331.5050048828125,332.6098937988281,331.2950134277344,332.5299987792969,414820,AAPL
2026-07-17 09:32:00,332.8525085449219,333.20001220703125,331.29998779296875,331.5050048828125,217906,AAPL
2026-07-17 09:33:00,332.99249267578125,333.17498779296875,331.80999755859375,332.8262939453125,307702,AAPL
2026-07-17 09:34:00,333.44000244140625,333.510009765625,332.7699890136719,333.0899963378906,323278,AAPL
2026-07-17 09:35:00,333.2349853515625,334.0799865722656,333.0,333.4700012207031,283587,AAPL
2026-07-17 09:36:00,333.7699890136719,333.864990234375,332.9700012207031,333.24249267578125,202292,AAPL
2026-07-17 09:37:00,333.8999938964844,334.239990234375,333.57000732421875,333.7099914550781,330473,AAPL
2026-07-17 09:38:00,334.3800048828125,334.5,333.3599853515625,333.9800109863281,358122,AAPL
2026-07-17 09:39:00,334.9599914550781,334.9800109863281,333.79998779296875,334.32000732421875,342697,AAPL
2026-07-17 09:40:00,333.5,334.9486999511719,333.4200134277344,334.8800048828125,255726,AAPL
2026-07-17 09:41:00,334.3999938964844,334.57501220703125,333.42999267578125,333.5,278540,AAPL
2026-07-17 09:42:00,334.0260009765625,334.55950927734375,333.4599914550781,334.3500061035156,229431,AAPL
2026-07-17 09:43:00,333.80499267578125,334.2799987792969,333.59271240234375,334.05999755859375,125666,AAPL
2026-07-17 09:44:00,333.8399963378906,334.1499938964844,333.739990234375,333.80499267578125,113706,AAPL
2026-07-17 09:45:00,333.82000732421875,334.3999938964844,333.6700134277344,333.8901062011719,172817,AAPL
2026-07-17 09:46:00,332.92498779296875,333.94000244140625,332.7699890136719,333.8500061035156,276772,AAPL
2026-07-17 09:47:00,333.5050048828125,333.6300048828125,332.7699890136719,332.93499755859375,203375,AAPL
2026-07-17 09:48:00,333.4949951171875,334.07000732421875,333.4800109863281,333.510009765625,195292,AAPL
2026-07-17 09:49:00,333.07000732421875,333.6300048828125,332.9200134277344,333.45001220703125,168694,AAPL
2026-07-17 09:50:00,331.739990234375,333.135009765625,331.65069580078125,333.07000732421875,266302,AAPL
2026-07-17 09:51:00,331.1600036621094,331.9599914550781,331.1600036621094,331.7449951171875,155016,AAPL
2026-07-17 09:52:00,331.9049987792969,331.94000244140625,331.1499938964844,331.1600036621094,252118,AAPL
2026-07-17 09:53:00,331.8500061035156,332.0599060058594,331.6199951171875,331.8900146484375,119251,AAPL
2026-07-17 09:54:00,332.21490478515625,332.9200134277344,331.73199462890625,331.8599853515625,142233,AAPL
2026-07-17 09:55:00,331.989990234375,332.4700012207031,331.8599853515625,332.2449951171875,124825,AAPL
2026-07-17 09:56:00,331.8399963378906,332.1700134277344,331.7349853515625,332.0199890136719,129182,AAPL
2026-07-17 09:57:00,331.489990234375,332.5299987792969,331.3299865722656,331.8299865722656,295956,AAPL
2026-07-17 09:58:00,331.3800048828125,331.55999755859375,331.07000732421875,331.44000244140625,139014,AAPL
2026-07-17 09:59:00,330.9800109863281,331.510009765625,330.8900146484375,331.3800048828125,168078,AAPL
2026-07-17 10:00:00,330.489990234375,330.989990234375,330.2174987792969,330.94000244140625,188990,AAPL
2026-07-17 10:01:00,330.2300109863281,330.5,329.7850036621094,330.4200134277344,250948,AAPL
2026-07-17 10:02:00,329.510009765625,330.29998779296875,329.44000244140625,330.25,182426,AAPL
2026-07-17 10:03:00,329.82000732421875,330.0,329.3399963378906,329.5498962402344,186186,AAPL
2026-07-17 10:04:00,330.260009765625,330.5400085449219,329.7149963378906,329.7699890136719,148468,AAPL
2026-07-17 10:05:00,330.1650085449219,330.5849914550781,330.010009765625,330.3830871582031,115884,AAPL
2026-07-17 10:06:00,329.9849853515625,330.1759948730469,329.7099914550781,330.1650085449219,142859,AAPL
2026-07-17 10:07:00,330.1700134277344,330.3299865722656,329.6300048828125,330.0199890136719,179677,AAPL
2026-07-17 10:08:00,330.0450134277344,330.260009765625,329.739990234375,330.19000244140625,147663,AAPL
2026-07-17 10:09:00,329.68499755859375,330.0,329.5249938964844,330.0,128660,AAPL
2026-07-17 10:10:00,329.0950012207031,329.739990234375,329.0006103515625,329.7099914550781,214550,AAPL
2026-07-17 10:11:00,329.4599914550781,329.760009765625,329.0199890136719,329.0899963378906,231834,AAPL
2026-07-17 10:12:00,330.0806884765625,330.32501220703125,329.44500732421875,329.4549865722656,130987,AAPL
2026-07-17 10:13:00,330.19000244140625,330.5899963378906,330.0799865722656,330.1199951171875,137248,AAPL
2026-07-17 10:14:00,330.5086975097656,330.5199890136719,330.0899963378906,330.1650085449219,137993,AAPL
2026-07-17 10:15:00,330.2799987792969,330.5400085449219,330.05999755859375,330.42999267578125,101549,AAPL
2026-07-17 10:16:00,330.0150146484375,330.3299865722656,329.8399963378906,330.239990234375,92498,AAPL
2026-07-17 10:17:00,330.010009765625,330.44000244140625,329.8999938964844,330.0150146484375,182516,AAPL
2026-07-17 10:18:00,330.54998779296875,330.76800537109375,330.0199890136719,330.0199890136719,131851,AAPL
2026-07-17 10:19:00,330.5400085449219,330.58990478515625,330.17999267578125,330.5199890136719,114785,AAPL
2026-07-17 10:20:00,330.37799072265625,330.5899963378906,330.1400146484375,330.568115234375,109696,AAPL
2026-07-17 10:21:00,330.6050109863281,330.92779541015625,330.3900146484375,330.3900146484375,158435,AAPL
2026-07-17 10:22:00,330.2449951171875,330.6499938964844,330.0450134277344,330.6199951171875,126818,AAPL
2026-07-17 10:23:00,330.5350036621094,330.6000061035156,330.2200012207031,330.260009765625,80513,AAPL
2026-07-17 10:24:00,330.8139953613281,331.0,330.42010498046875,330.55999755859375,149600,AAPL
2026-07-17 10:25:00,330.8599853515625,330.8599853515625,330.4800109863281,330.79998779296875,77071,AAPL
2026-07-17 10:26:00,331.2698974609375,331.29998779296875,330.8299865722656,330.8550109863281,98771,AAPL
2026-07-17 10:27:00,331.3598937988281,331.510009765625,331.239990234375,331.2900085449219,83775,AAPL
2026-07-17 10:28:00,331.2051086425781,331.6449890136719,331.1000061035156,331.3450012207031,92050,AAPL
2026-07-17 10:29:00,331.8399963378906,331.8500061035156,331.19500732421875,331.21710205078125,106564,AAPL
2026-07-17 10:30:00,332.7200012207031,332.8999938964844,331.8500061035156,331.8800048828125,234185,AAPL
2026-07-17 10:31:00,332.8570861816406,333.07000732421875,332.6099853515625,332.7250061035156,160362,AAPL
2026-07-17 10:32:00,333.2698974609375,333.29998779296875,332.8200988769531,332.840087890625,221908,AAPL
2026-07-17 10:33:00,333.57000732421875,333.6600036621094,333.20001220703125,333.25,216834,AAPL
2026-07-17 10:34:00,333.93499755859375,333.9700012207031,333.45050048828125,333.57000732421875,204450,AAPL
2026-07-17 10:35:00,333.17559814453125,333.9599914550781,333.04998779296875,333.93499755859375,198889,AAPL
2026-07-17 10:36:00,333.031494140625,333.2598876953125,332.760009765625,333.2200012207031,237461,AAPL
2026-07-17 10:37:00,332.3999938964844,333.2300109863281,332.3699951171875,333.05999755859375,114320,AAPL
2026-07-17 10:38:00,332.360107421875,332.4599914550781,332.1400146484375,332.4100036621094,97720,AAPL
2026-07-17 10:39:00,332.3999938964844,332.4100036621094,332.125,332.3949890136719,114270,AAPL
2026-07-17 10:40:00,332.5379943847656,332.67999267578125,332.3500061035156,332.3999938964844,109620,AAPL
2026-07-17 10:41:00,332.7200012207031,333.2300109863281,332.3500061035156,332.510009765625,134562,AAPL
2026-07-17 10:42:00,332.894287109375,333.0,332.4599914550781,332.69000244140625,114353,AAPL
2026-07-17 10:43:00,332.67999267578125,332.8656921386719,332.6099853515625,332.8399963378906,90086,AAPL
2026-07-17 10:44:00,333.07000732421875,333.0892028808594,332.57000732421875,332.70001220703125,97802,AAPL
2026-07-17 10:45:00,333.3302001953125,333.3699951171875,332.989990234375,333.07000732421875,104675,AAPL
